,geoname,year,incper,poptot,area,popdens
228,"Lebanon, PA",2016,43576,138863,940,147.7265957
229,"Lehigh, PA",2011,44367,353625,904,391.1780973
230,"Lehigh, PA",2012,44375,355403,904,393.1449115
231,"Lehigh, PA",2013,44480,356006,904,393.8119469
232,"Lehigh, PA",2014,46026,358552,904,396.6283186
233,"Lehigh, PA",2015,47960,360852,904,399.1725664
234,"Lehigh, PA",2016,48834,363147,904,401.7112832
235,"Luzerne, PA",2011,36995,321129,2349,136.7088123
236,"Luzerne, PA",2012,37828,321420,2349,136.8326948
237,"Luzerne, PA",2013,37965,319893,2349,136.1826309
238,"Luzerne, PA",2014,39149,319079,2349,135.8361005
239,"Luzerne, PA",2015,40696,317812,2349,135.296722
240,"Luzerne, PA",2016,41809,316383,2349,134.688378
241,"Lycoming, PA",2011,37056,116677,3222,36.21260087
242,"Lycoming, PA",2012,38167,117319,3222,36.41185599
243,"Lycoming, PA",2013,38534,116720,3222,36.22594662
244,"Lycoming, PA",2014,39973,116450,3222,36.14214773
245,"Lycoming, PA",2015,40506,115829,3222,35.9494103
246,"Lycoming, PA",2016,40185,115248,3222,35.76908752
247,"McKean, PA",2011,36678,43187,2549,16.94272264
248,"McKean, PA",2012,37789,43234,2549,16.96116124
249,"McKean, PA",2013,38228,42844,2549,16.80816006
250,"McKean, PA",2014,39509,42670,2549,16.739898
251,"McKean, PA",2015,39217,42416,2549,16.64025108
252,"McKean, PA",2016,39416,41883,2549,16.43114947
253,"Mercer, PA",2011,34247,116243,1769,65.71113624
254,"Mercer, PA",2012,34818,115806,1769,65.46410401
255,"Mercer, PA",2013,35598,115343,1769,65.20237422
256,"Mercer, PA",2014,36455,114936,1769,64.97230073
257,"Mercer, PA",2015,38045,113992,1769,64.43866591
258,"Mercer, PA",2016,38872,112913,1769,63.82871679
259,"Mifflin, PA",2011,31127,46776,1075,43.51255814
260,"Mifflin, PA",2012,31822,46832,1075,43.56465116
261,"Mifflin, PA",2013,32338,46714,1075,43.45488372
262,"Mifflin, PA",2014,33741,46555,1075,43.30697674
263,"Mifflin, PA",2015,34924,46481,1075,43.23813953
264,"Mifflin, PA",2016,35717,46342,1075,43.10883721
265,"Monroe, PA",2011,33327,169868,1598,106.3003755
266,"Monroe, PA",2012,33281,168567,1598,105.4862328
267,"Monroe, PA",2013,34975,167271,1598,104.675219
268,"Monroe, PA",2014,36416,167197,1598,104.6289111
269,"Monroe, PA",2015,37940,166499,1598,104.1921151
270,"Monroe, PA",2016,39104,166098,1598,103.9411765
271,"Montgomery, PA",2011,65571,805500,1261,638.778747
272,"Montgomery, PA",2012,69830,809540,1261,641.9825535
273,"Montgomery, PA",2013,66589,813400,1261,645.0436162
274,"Montgomery, PA",2014,69282,816350,1261,647.3830293
275,"Montgomery, PA",2015,71969,818363,1261,648.9793814
276,"Montgomery, PA",2016,72780,821725,1261,651.6455194
277,"Montour, PA",2011,45147,18363,342,53.69298246
278,"Montour, PA",2012,46552,18454,342,53.95906433
279,"Montour, PA",2013,47915,18419,342,53.85672515
280,"Montour, PA",2014,49264,18444,342,53.92982456
281,"Montour, PA",2015,50827,18358,342,53.67836257
282,"Montour, PA",2016,51877,18343,342,53.63450292
283,"Northampton, PA",2011,42186,298280,976,305.6147541
284,"Northampton, PA",2012,43299,299293,976,306.6526639
285,"Northampton, PA",2013,44193,299527,976,306.892418
286,"Northampton, PA",2014,45924,300296,976,307.6803279
287,"Northampton, PA",2015,47604,301190,976,308.5963115
