"","geoname","county","year","X","incper","popdens","DO","urbanrural","incper2","incper3","SCI","sci2","sci3"
"71","KCCF","Clinton, PA",2015,71,36666,16.92132416,10.56420233,0,1344395556,49293607456296,0.657841989260954,0.43275608283481,0.28468512239683
"72","KCCF","Clinton, PA",2016,72,36168,16.86715391,9.585185185,0,1308124224,47312236933632,0.657841989260954,0.43275608283481,0.28468512239683
"133","LRG","Northampton, PA",2011,133,42186,305.6147541,9.554666667,1,1779658596,75076677530856,0.410937080302467,0.168869283967516,0.0693946505063793
"134","LRG","Northampton, PA",2012,134,43299,306.6526639,9.024757282,1,1874803401,81177112459899,0.414929225829612,0.172166262447561,0.0714368139913443
"135","LRG","Northampton, PA",2013,135,44193,306.892418,9.400913242,1,1953021249,86309868057057,0.393296282963122,0.154681966192608,0.0608358423449803
"136","LRG","Northampton, PA",2014,136,45924,307.6803279,9.8364,1,2109013776,96854348649024,0.396352658976667,0.157095430277874,0.062265191503719
"137","LRG","Northampton, PA",2015,137,47604,308.5963115,9.679148936,1,2266140816,107877367404864,0.387573797685968,0.150213448652723,0.058218796757842
"138","LRG","Northampton, PA",2016,138,48650,309.727459,9.336885246,1,2366822500,115145914625000,0.387573797685968,0.150213448652723,0.058218796757842
"13","MCMC","Armstrong, PA",2011,13,38427,39.90988372,9.315337423,0,1476634329,56742627360483,0.853756095577721,0.728899470736114,0.622302366204332
"18","MCMC","Armstrong, PA",2012,18,38448,39.74825581,8.988275862,0,1478248704,56835706171392,0.935735656350932,0.87560121856651,0.81933128095701
"23","MCMC","Armstrong, PA",2013,27,38547,39.59011628,9.059748428,0,1485871209,57275877493323,0.925226713685185,0.856044471716688,0.792035213334801
"28","MCMC","Armstrong, PA",2014,31,39980,39.3372093,8.688586957,0,1598400400,63904047992000,0.902482076154928,0.81447389778091,0.735048094243313
"33","MCMC","Armstrong, PA",2015,35,39789,38.92616279,9.940754717,0,1583164521,62992533126069,0.883842976388245,0.781178406910831,0.690439048254296
"39","MCMC","Armstrong, PA",2016,40,40522,38.65465116,10.26985915,0,1642032484,66538440316648,0.883842976388245,0.781178406910831,0.690439048254296
"103","MCP","Jefferson, PA",2011,103,35906,26.39835488,8.784444444,1,1289240836,46291481457416,0.908756273917541,0.825837965384493,0.750485432282455
"104","MCP","Jefferson, PA",2012,104,36126,26.34488837,9.145614035,1,1305087876,47147604608376,0.959596918934992,0.92082624682953,0.88362202933209
"105","MCP","Jefferson, PA",2013,105,36157,26.40775558,9.744075829,1,1307328649,47269081961893,0.936055210791809,0.876199357650498,0.820170974421184
"106","MCP","Jefferson, PA",2014,106,37235,26.20740306,9.797560976,1,1386445225,51624287952875,0.955394095920196,0.912777878519169,0.872062596023776
"107","MCP","Jefferson, PA",2015,107,38073,26.09283196,9.657055215,1,1449553329,55188843895017,0.965461854446869,0.932116592391988,0.899923013851465
"108","MCP","Jefferson, PA",2016,108,38222,25.89482961,9.281497797,1,1460921284,55839333317048,0.965461854446869,0.932116592391988,0.899923013851465
"1","MRE","Allegheny, PA",2011,1,48192,636.0284974,8.017045455,1,2322468864,111924419493888,0.404364317458529,0.163510501233702,0.0661178122286679
"4","MRE","Allegheny, PA",2012,3,49845,637.7419689,7.861748634,1,2484524025,123841100026125,0.415507941221164,0.172646849217851,0.0717361368768299
"6","MRE","Allegheny, PA",2013,5,50096,639.1870466,8.230357143,1,2509609216,125721383284736,0.408078519712822,0.166528078251008,0.0679565316632925
